   BINSIZE: 0.146667
# VELOCITY:     AVE_POFV:        ERROR:
           1       0.254       0.254           0
           1       1.584       1.584           0
           1       4.129       4.129           0
           1         6.9         6.9           0
           1       9.208       9.208           0
           1      10.586      10.586           0
           1      11.518      11.518           0
           1      11.425      11.425           0
           1      10.687      10.687           0
           1      10.318      10.318           0
           1       8.152       8.152           0
           1        7.64        7.64           0
           1       5.239       5.239           0
           1       3.338       3.338           0
           1       2.387       2.387           0
           1       1.817       1.817           0
           1       1.144       1.144           0
           1       0.789       0.789           0
           1       0.392       0.392           0
           1       0.219       0.219           0
           1       0.126       0.126           0
           1       0.115       0.115           0
           1       0.033       0.033           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           1           0           0           0
           2       0.343      0.2985   0.0314663
           2       1.638       1.611   0.0190919
           2       3.386      3.7575     0.26269
           2       6.513      6.7065    0.136825
           2       9.758       9.483    0.194454
           2      11.866      11.226    0.452548
           2      12.083     11.8005    0.199758
           2      11.875       11.65    0.159099
           2      11.606     11.1465    0.324916
           2      10.185     10.2515   0.0470226
           2       8.413      8.2825   0.0922774
           2       6.655      7.1475     0.34825
           2       4.602      4.9205    0.225214
           2       3.077      3.2075   0.0922774
           2       2.075       2.231    0.110309
           2       1.292      1.5545    0.185616
           2       0.852       0.998    0.103238
           2        0.73      0.7595   0.0208597
           2       0.501      0.4465   0.0385373
           2       0.234      0.2265   0.0053033
           2       0.242       0.184   0.0410122
           2       0.074      0.0945   0.0144957
           2           0      0.0165   0.0116673
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           2           0           0           0
           3       0.185    0.260667   0.0373403
           3       1.113       1.445    0.136135
           3       3.019     3.51133    0.266586
           3       5.787         6.4    0.266362
           3       8.841       9.269    0.217569
           3      10.679     11.0437    0.336431
           3      12.221     11.9407    0.175592
           3      13.409     12.2363    0.490348
           3      13.015     11.7693    0.552752
           3       9.954     10.1523   0.0868259
           3        7.83     8.13167    0.137665
           3       6.924       7.073    0.240003
           3       5.745     5.19533    0.269997
           3       3.718     3.37767    0.151951
           3       2.721     2.39433    0.152293
           3       1.379       1.496    0.132642
