#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.99828     2.08278   0.0144981
         170     1.96819     2.08211   0.0144285
         171     1.94512     2.08131   0.0143664
         172     1.95702     2.08058    0.014301
         173     1.94054     2.07977   0.0142412
         174     1.95967     2.07908   0.0141761
         175     1.94001     2.07829   0.0141173
         176     1.91952     2.07739   0.0140659
         177      1.9237     2.07652   0.0140132
         178     1.90466     2.07555   0.0139677
         179     1.89116     2.07452   0.0139276
         180     1.88603     2.07348   0.0138896
         181     1.89638      2.0725   0.0138473
         182     1.91102     2.07161   0.0137996
         183     1.93348     2.07086   0.0137448
         184     1.94371     2.07016   0.0136874
         185     1.95928     2.06956   0.0136266
         186     1.94295     2.06888   0.0135703
         187     1.93089     2.06815   0.0135178
         188     1.91596     2.06734   0.0134701
         189     1.93913     2.06666   0.0134159
         190      1.9235      2.0659   0.0133664
         191     1.92494     2.06517   0.0133168
         192     1.91643     2.06439     0.01327
         193     1.89952     2.06354   0.0132287
         194     1.91279     2.06276   0.0131833
         195     1.91323     2.06199    0.013138
         196     1.94991     2.06142   0.0130834
         197     1.95645     2.06089   0.0130278
         198     1.95887     2.06037   0.0129722
         199     1.95422     2.05984    0.012918
         200     1.97899     2.05944   0.0128597
         201     1.97434     2.05901   0.0128027
         202       1.961     2.05853   0.0127485
         203     1.98632     2.05817   0.0126907
         204     2.00698     2.05792   0.0126309
         205     1.97078      2.0575   0.0125765
         206        1.97     2.05707   0.0125226
         207      1.9595      2.0566    0.012471
         208     1.98405     2.05625   0.0124159
         209     1.96653     2.05582   0.0123639
         210     1.94308     2.05529   0.0123167
         211     1.93966     2.05474   0.0122705
         212     1.95578     2.05427   0.0122215
         213      1.9496     2.05378    0.012174
         214     1.95682     2.05333   0.0121255
         215     1.96657     2.05292   0.0120758
         216     1.99623     2.05266   0.0120228
         217      1.9974     2.05241   0.0119701
         218     1.99368     2.05214   0.0119182
         219     1.98821     2.05184   0.0118673
         220     1.98027     2.05152   0.0118179
         221     1.99944     2.05128   0.0117667
         222     2.02279     2.05115   0.0117144
         223     2.01703       2.051   0.0116629
         224      2.0347     2.05093   0.0116111
         225     2.03331     2.05085   0.0115597
         226     1.99826     2.05062   0.0115109
         227     1.94662     2.05016   0.0114693
         228     1.93544     2.04966     0.01143
         229     1.90907     2.04904   0.0113966
         230     1.93813     2.04856   0.0113573
         231     1.97913     2.04826   0.0113121
         232      1.9917     2.04802   0.0112659
         233     1.96737     2.04767   0.0112229
         234     1.94015     2.04721   0.0111843
         235     1.93303     2.04672   0.0111473
         236     1.94845     2.04631   0.0111078
         237     1.95854     2.04594   0.0110671
         238     1.92479     2.04543   0.0110323
         239     1.92405     2.04492   0.0109979
         240     1.92139     2.04441   0.0109641
         241     1.91832     2.04388   0.0109311
         242     1.89555     2.04327   0.0109031
         243     1.91535     2.04274   0.0108709
         244     1.97896     2.04248   0.0108295
         245     1.97131     2.04219   0.0107892
         246     1.95167     2.04182   0.0107516
         247     1.95957     2.04149   0.0107132
         248     1.96995      2.0412   0.0106739
         249     1.97999     2.04096   0.0106339
         250     2.01095     2.04084    0.010592
         251     2.06249     2.04092   0.0105502
         252     2.05928       2.041   0.0105085
         253     2.04902     2.04103   0.0104671
         254     2.02668     2.04097    0.010426
         255     2.03736     2.04096   0.0103851
         256     2.02239     2.04088   0.0103448
         257     1.97308     2.04062   0.0103079
         258     1.95915      2.0403   0.0102728
         259     1.97063     2.04004   0.0102367
         260     2.00721     2.03991   0.0101981
         261     2.03695      2.0399    0.010159
         262      2.0122     2.03979   0.0101208
         263     1.97944     2.03956   0.0100849
         264     1.97925     2.03933   0.0100493
         265     1.99439     2.03916   0.0100128
         266     2.01226     2.03906  0.00997566
         267     1.99102     2.03888  0.00993992
         268     1.99554     2.03872  0.00990414
