#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.31209     1.39943   0.0108212
         148     1.30061     1.39876   0.0107686
         149     1.30979     1.39816   0.0107129
         150     1.33026     1.39771    0.010651
         151     1.31896     1.39719   0.0105933
         152     1.31506     1.39665   0.0105374
         153     1.30452     1.39605   0.0104857
         154      1.2952     1.39539    0.010438
         155     1.30735     1.39482   0.0103861
         156     1.31074     1.39429   0.0103335
         157     1.30157     1.39369   0.0102846
         158     1.29762     1.39309   0.0102374
         159     1.30548     1.39254   0.0101878
         160     1.32189     1.39209   0.0101337
         161     1.30771     1.39157   0.0100843
         162     1.31645     1.39111   0.0100327
         163     1.31202     1.39062  0.00998292
         164     1.32955     1.39025    0.009929
         165     1.33704     1.38993  0.00987405
         166     1.33245     1.38958  0.00982064
         167     1.33332     1.38924  0.00976761
         168     1.32421     1.38886  0.00971714
         169     1.33219     1.38852  0.00966543
         170     1.31213     1.38807  0.00961901
         171     1.29675     1.38754  0.00957758
         172     1.30468     1.38706    0.009534
         173      1.2937     1.38652  0.00949415
         174     1.30645     1.38606  0.00945073
         175     1.29334     1.38553  0.00941157
         176     1.27968     1.38492  0.00937729
         177     1.28247     1.38435  0.00934216
         178     1.26977      1.3837  0.00931182
         179     1.26077     1.38302  0.00928509
         180     1.25736     1.38232  0.00925971
         181     1.26425     1.38166   0.0092315
         182     1.27401     1.38107  0.00919971
         183     1.28899     1.38057  0.00916319
         184     1.29581     1.38011  0.00912496
         185     1.30619     1.37971  0.00908438
         186      1.2953     1.37926  0.00904687
         187     1.28726     1.37876  0.00901186
         188     1.27731     1.37822  0.00898007
         189     1.29275     1.37777  0.00894393
         190     1.28233     1.37727  0.00891095
         191     1.28329     1.37678  0.00887787
         192     1.27762     1.37626  0.00884664
         193     1.26635     1.37569  0.00881912
         194     1.27519     1.37517  0.00878886
         195     1.27549     1.37466  0.00875864
         196     1.29994     1.37428  0.00872225
         197      1.3043     1.37393   0.0086852
         198     1.30591     1.37358  0.00864813
         199     1.30281     1.37323  0.00861198
         200     1.31933     1.37296  0.00857314
         201     1.31623     1.37268  0.00853513
         202     1.30733     1.37235    0.008499
         203     1.32421     1.37211  0.00846044
         204     1.33799     1.37195  0.00842062
         205     1.31385     1.37166  0.00838431
         206     1.31333     1.37138  0.00834839
         207     1.30633     1.37107  0.00831398
         208      1.3227     1.37083  0.00827726
         209     1.31102     1.37055   0.0082426
         210     1.29538     1.37019  0.00821112
         211     1.29311     1.36982  0.00818032
         212     1.30385     1.36951  0.00814765
         213     1.29974     1.36919  0.00811599
         214     1.30455     1.36888  0.00808368
         215     1.31104     1.36861  0.00805056
         216     1.33082     1.36844  0.00801519
         217      1.3316     1.36827  0.00798005
         218     1.32912     1.36809  0.00794546
         219     1.32547      1.3679  0.00791156
         220     1.32018     1.36768  0.00787857
         221     1.33296     1.36752  0.00784449
         222     1.34853     1.36744  0.00780962
         223     1.34469     1.36733  0.00777527
         224     1.35647     1.36729  0.00774071
         225     1.35554     1.36723  0.00770648
         226     1.33217     1.36708  0.00767394
         227     1.29774     1.36677  0.00764621
         228     1.29029     1.36644  0.00762003
         229     1.27272     1.36603  0.00759774
         230     1.29209     1.36571   0.0075715
         231     1.31942     1.36551  0.00754138
         232      1.3278     1.36534  0.00751062
         233     1.31158     1.36511  0.00748193
         234     1.29343     1.36481  0.00745623
         235     1.28869     1.36448  0.00743153
         236     1.29897     1.36421  0.00740522
         237     1.30569     1.36396  0.00737809
         238     1.28319     1.36362  0.00735489
         239      1.2827     1.36328  0.00733191
         240     1.28093     1.36294  0.00730938
         241     1.27888     1.36259  0.00728737
         242      1.2637     1.36218   0.0072687
         243      1.2769     1.36183  0.00724726
         244      1.3193     1.36165  0.00721965
         245     1.31421     1.36146  0.00719278
         246     1.30112     1.36122  0.00716772
         247     1.30638     1.36099  0.00714214
         248      1.3133      1.3608  0.00711593
         249     1.31999     1.36064  0.00708924
         250     1.34063     1.36056  0.00706133
         251     1.37499     1.36062  0.00703344
         252     1.37285     1.36066  0.00700569
         253     1.36602     1.36068  0.00697803
         254     1.35112     1.36065  0.00695066
         255     1.35824     1.36064  0.00692341
         256     1.34826     1.36059  0.00689654
         257     1.31538     1.36041  0.00687194
         258      1.3061      1.3602  0.00684853
         259     1.31376     1.36002  0.00682444
         260     1.33814     1.35994  0.00679871
         261     1.35797     1.35993  0.00677266
         262     1.34147     1.35986  0.00674718
         263     1.31963     1.35971  0.00672326
         264      1.3195     1.35956  0.00669952
         265     1.32959     1.35944  0.00667519
         266     1.34151     1.35938  0.00665044
         267     1.32735     1.35926  0.00662661
         268     1.33036     1.35915  0.00660276
         269     1.33035     1.35904  0.00657908
         270     1.32369     1.35891  0.00655602
         271     1.33132     1.35881  0.00653262
         272     1.34094     1.35874  0.00650893
         273     1.32792     1.35863  0.00648607
         274     1.33522     1.35854  0.00646296
