#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153   -0.359979   -0.497774    0.015792
         154   -0.345978   -0.496788   0.0157202
         155   -0.364625   -0.495935   0.0156419
         156   -0.369248   -0.495123   0.0155627
         157   -0.355819   -0.494236   0.0154888
         158   -0.349612   -0.493321   0.0154178
         159   -0.362214   -0.492496   0.0153429
         160      -0.386    -0.49183   0.0152614
         161   -0.364763   -0.491041    0.015187
         162    -0.37849   -0.490346   0.0151091
         163   -0.371571   -0.489618    0.015034
         164   -0.397439   -0.489056   0.0149528
         165   -0.409001    -0.48857   0.0148701
         166   -0.401954   -0.488049   0.0147897
         167   -0.403709   -0.487544   0.0147097
         168   -0.389154   -0.486958   0.0146338
         169   -0.401319   -0.486451    0.014556
         170   -0.371349   -0.485774   0.0144861
         171   -0.348528   -0.484972   0.0144236
         172    -0.36029   -0.484247    0.014358
         173   -0.344087   -0.483437   0.0142978
         174   -0.362854   -0.482743   0.0142324
         175   -0.343121   -0.481946   0.0141734
         176   -0.322865   -0.481042   0.0141217
         177   -0.327198   -0.480173   0.0140686
         178   -0.307938   -0.479205   0.0140228
         179   -0.294908   -0.478175   0.0139822
         180   -0.289365   -0.477126   0.0139438
         181    -0.29942   -0.476145   0.0139013
         182   -0.314898   -0.475259   0.0138532
         183   -0.337039   -0.474503    0.013798
         184   -0.347383   -0.473813   0.0137403
         185   -0.362975   -0.473213   0.0136791
         186   -0.345975   -0.472529   0.0136227
         187   -0.334264    -0.47179   0.0135699
         188   -0.319182   -0.470978   0.0135219
         189   -0.342645   -0.470299   0.0134674
         190   -0.326996   -0.469545   0.0134177
         191   -0.328158   -0.468805   0.0133678
         192    -0.31983   -0.468029   0.0133207
         193    -0.30296   -0.467174   0.0132791
         194   -0.316144   -0.466395   0.0132334
         195   -0.316753   -0.465628   0.0131878
         196   -0.353445   -0.465055   0.0131329
         197   -0.360129   -0.464523   0.0130771
         198   -0.362303   -0.464006   0.0130212
         199   -0.357794   -0.463473   0.0129667
         200   -0.382332   -0.463067   0.0129082
         201   -0.377469   -0.462641    0.012851
         202   -0.364876   -0.462157   0.0127965
         203   -0.389613     -0.4618   0.0127385
         204   -0.410632   -0.461549   0.0126785
         205   -0.373995   -0.461122   0.0126238
         206   -0.373636   -0.460697   0.0125697
         207   -0.362794   -0.460224   0.0125179
         208   -0.387327   -0.459874   0.0124626
         209   -0.369823   -0.459443   0.0124104
         210   -0.346211   -0.458904    0.012363
         211   -0.342943   -0.458354   0.0123166
         212   -0.359287   -0.457887   0.0122674
         213   -0.352999   -0.457394   0.0122197
         214   -0.360593   -0.456942    0.012171
         215   -0.370228   -0.456539    0.012121
         216   -0.399836   -0.456276   0.0120678
         217   -0.400333   -0.456018   0.0120149
         218   -0.397267   -0.455749   0.0119628
         219   -0.391549   -0.455456   0.0119118
         220   -0.384017   -0.455131   0.0118621
         221    -0.40276   -0.454894   0.0118107
         222   -0.426674   -0.454767   0.0117582
         223    -0.42058   -0.454614   0.0117065
         224    -0.43782   -0.454539   0.0116545
         225   -0.436581   -0.454459    0.011603
         226   -0.401386   -0.454224    0.011554
         227   -0.349779   -0.453764   0.0115123
         228   -0.338552   -0.453259   0.0114728
         229   -0.312791   -0.452645   0.0114391
         230   -0.341588   -0.452162   0.0113996
         231   -0.382919   -0.451863   0.0113542
         232   -0.395209   -0.451618   0.0113079
         233   -0.370718   -0.451271   0.0112647
         234   -0.343261    -0.45081    0.011226
         235    -0.33643   -0.450323   0.0111887
         236   -0.352256   -0.449907   0.0111491
         237   -0.361272   -0.449533   0.0111083
         238   -0.328061   -0.449023   0.0110733
         239   -0.327303   -0.448514   0.0110387
