# best_L1 average_L1
74.5954 74.6307
74.5954 74.6065
74.5954 74.5954
74.5954 74.5954
74.5954 74.5954
74.5954 74.5954
74.5954 74.5954
74.3514 74.5944
74.2717 74.5548
74.2717 74.4459
73.5317 74.3309
73.5317 74.1769
73.5317 73.9225
73.5317 73.685
73.5317 73.5317
73.5317 73.5388
73.5317 73.5317
73.5317 73.5319
73.5317 73.5317
73.5317 73.5317
73.3711 73.531
73.0364 73.5053
73.0364 73.3986
73.0364 73.2394
73.0364 73.1189
73.0364 73.0498
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0365
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
73.0364 73.0364
71.2859 73.2118
71.2859 74.0201
71.2859 74.0444
71.2859 72.439
71.2859 71.2886
71.2859 71.3428
71.2859 71.2859
71.2859 71.3655
71.2859 73.3819
71.2859 73.3856
71.2859 72.1958
71.2859 71.2866
71.2859 71.2859
71.2859 71.2859
71.2859 71.2859
71.2859 71.2859
70.8966 71.2843
70.8966 71.2095
70.8966 71.0663
70.8184 70.9616
70.8184 70.8933
70.8184 70.8453
70.8184 70.8224
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.8184 70.8184
70.759 70.8181
70.759 70.8067
70.759 70.783
70.759 70.7638
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.759 70.759
70.544 70.7665
70.544 70.7255
70.544 70.6248
70.544 70.5732
70.544 70.5466
70.544 70.5459
70.544 70.917
70.544 72.7156
70.544 72.3496
70.544 71.682
70.544 70.866
70.544 70.544
70.544 70.544
70.544 70.544
70.544 70.544
70.544 70.544
70.1923 70.5426
70.1923 70.4905
70.1923 70.3372
70.1923 70.2261
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
70.1923 70.1923
69.8949 70.1911
69.8949 70.1435
69.8949 69.9994
69.8949 69.9187
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8949 69.8949
69.8472 70.2163
69.8472 69.9164
69.8472 69.8672
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
