#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0112038    0.358523           0
           2   0.0112177    0.358745 0.000157174
           3   0.0111739    0.358351 0.000338131
           4   0.0111415    0.357896 0.000468919
           5   0.0113043    0.358664  0.00078279
           6   0.0113225    0.359273 0.000857319
           7   0.0110985    0.358685 0.000914841
           8   0.0111654    0.358511 0.000816871
           9   0.0111103    0.358179 0.000790465
          10   0.0111197    0.357944 0.000745533
          11   0.0111502    0.357841 0.000684883
          12   0.0111975    0.357881 0.000628971
          13   0.0113257     0.35823 0.000670591
          14   0.0110689    0.357943 0.000681515
          15   0.0111762    0.357922 0.000636382
          16    0.011126    0.357804 0.000607486
          17   0.0111312     0.35771 0.000579061
          18   0.0112229    0.357789 0.000552266
          19   0.0112909    0.357974 0.000553419
          20   0.0113165    0.358182 0.000563354
