#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.871392   -0.871392           0
           2   -0.870456   -0.870924 0.000330926
           3   -0.870376   -0.870741 0.000266302
           4   -0.871282   -0.870877 0.000231546
           5    -0.86926   -0.870553 0.000343426
           6   -0.869626   -0.870399 0.000319046
           7   -0.870746   -0.870448 0.000277306
           8   -0.871984    -0.87064 0.000301848
           9   -0.869662   -0.870532 0.000287204
          10   -0.870101   -0.870489 0.000261697
          11   -0.869444   -0.870394 0.000254555
          12   -0.870195   -0.870377 0.000233879
          13   -0.871401   -0.870456  0.00022876
          14   -0.868978    -0.87035 0.000235532
          15   -0.871459   -0.870424 0.000231141
          16   -0.870775   -0.870446 0.000217733
          17    -0.87355   -0.870629 0.000270852
          18   -0.871165   -0.870658 0.000257437
          19   -0.870148   -0.870632 0.000245285
          20   -0.873414   -0.870771 0.000269592
