#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.891331   -0.891331           0
           2   -0.891482   -0.891407 5.34573e-05
           3   -0.890771   -0.891195 0.000176621
           4   -0.892444   -0.891507 0.000301131
           5   -0.893713   -0.891948 0.000462282
           6   -0.892423   -0.892027 0.000391952
           7   -0.891447   -0.891945 0.000344613
           8   -0.891456   -0.891883   0.0003069
           9   -0.889649   -0.891635 0.000359475
          10   -0.891021   -0.891574 0.000328736
          11   -0.890819   -0.891505 0.000305924
          12   -0.894648   -0.891767 0.000376189
          13    -0.89281   -0.891847 0.000355697
          14   -0.893617   -0.891974 0.000352032
          15    -0.89142   -0.891937 0.000330492
          16   -0.892873   -0.891995 0.000314972
          17   -0.893495   -0.892083 0.000308555
          18   -0.893913   -0.892185 0.000307695
          19   -0.891946   -0.892173 0.000291759
          20   -0.893714    -0.89225 0.000287166
