#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0102679    0.388202           0
           2   0.0101291    0.385577  0.00185628
           3   0.0101586    0.385074  0.00130383
           4   0.0102371    0.385565  0.00106623
           5   0.0102318    0.385819 0.000882812
           6   0.0101687    0.385591 0.000764528
           7   0.0101107    0.385115 0.000789791
           8   0.0102135    0.385244  0.00070143
           9   0.0101506    0.385079 0.000642445
          10   0.0101481    0.384938 0.000593415
          11    0.010118     0.38472 0.000578388
          12   0.0101648    0.384685  0.00053124
          13   0.0102581    0.384927 0.000542731
          14   0.0101326    0.384795 0.000519692
          15   0.0102463    0.384968 0.000512879
          16   0.0100934    0.384758 0.000522117
          17   0.0101528    0.384704  0.00049414
          18   0.0100907    0.384526 0.000497712
          19    0.010221    0.384626 0.000481474
          20   0.0101937    0.384665 0.000458934
