#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     42.3178     42.3178           0
           2     44.0702      43.194    0.619552
           3     45.1247     43.8376    0.668366
           4     44.6753      44.047    0.533077
           5     44.9526     44.2281    0.456194
           6     43.1663     44.0511    0.413063
           7     44.6885     44.1422    0.363952
           8      44.334     44.1662    0.319247
           9     42.9737     44.0337    0.310054
          10     46.5727     44.2876    0.368632
          11      46.284     44.4691    0.377159
          12     46.1962      44.613    0.372178
          13     44.1968      44.581    0.344923
          14     44.3188     44.5623    0.320794
          15     42.8386     44.4473    0.319326
          16     44.6767     44.4617     0.29969
          17     41.9785     44.3156    0.315659
          18     45.3647     44.3739    0.303455
          19     44.5853      44.385    0.287687
          20     46.3874     44.4851    0.290202
