#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.77825     1.77825           0
           2     1.78216     1.78021  0.00138334
           3     1.75516     1.77186  0.00687979
           4     1.78041     1.77399  0.00548188
           5     1.79298     1.77779  0.00554656
           6     1.79373     1.78045     0.00522
           7     1.78557     1.78118  0.00452525
           8     1.80533      1.7842  0.00486315
           9     1.79799     1.78573  0.00455804
          10     1.82608     1.78977  0.00561083
          11     1.81012     1.79162  0.00539741
          12     1.77403     1.79015  0.00514279
          13     1.82087     1.79251  0.00526228
          14     1.78725     1.79214  0.00489982
          15      1.7828     1.79152  0.00461251
          16     1.79555     1.79177  0.00433112
          17     1.82828     1.79392  0.00457803
          18     1.75554     1.79178  0.00479445
          19     1.76757     1.79051  0.00470847
          20     1.79849     1.79091  0.00448991
