#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00902444    0.409272           0
           2   0.0090278    0.409348  5.3888e-05
           3  0.00901046    0.409111 0.000196612
           4  0.00915453    0.410626  0.00132036
           5  0.00903079    0.410413  0.00107339
           6  0.00908985    0.410717 0.000936616
           7  0.00903741    0.410595 0.000810778
           8  0.00898145    0.410186 0.000806049
           9  0.00899329    0.409927 0.000756806
          10  0.00893532    0.409457 0.000813941
          11  0.00905151    0.409552 0.000745439
          12  0.00902838    0.409544 0.000683367
          13  0.00918838    0.410095 0.000823494
          14  0.00908915    0.410245 0.000778363
          15  0.00899068    0.410078 0.000744173
          16    0.008872    0.409596 0.000839647
          17  0.00908159    0.409729  0.00080078
          18  0.00897238    0.409573 0.000771451
          19  0.00911665    0.409777 0.000757407
          20  0.00922201      0.4102  0.00082916
