#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00771064    0.427182           0
           2  0.00776425    0.428668   0.0010501
           3   0.0077724    0.429313 0.000876225
           4  0.00779808    0.429991 0.000881475
           5  0.00771868    0.429519 0.000822199
           6  0.00783537    0.430281 0.000976612
           7  0.00778131    0.430398 0.000844029
           8  0.00775972    0.430336 0.000740799
           9  0.00783005     0.43072 0.000751763
          10  0.00767495    0.430169 0.000855298
          11  0.00771995    0.429944 0.000806501
          12  0.00766212     0.42949 0.000857682
          13  0.00774349    0.429452 0.000792527
          14  0.00768312    0.429181 0.000780899
          15   0.0078088    0.429411 0.000761757
          16    0.007658    0.429089 0.000779054
          17  0.00787305    0.429506 0.000837478
          18  0.00770143    0.429349 0.000805617
          19  0.00775748    0.429371 0.000763531
          20  0.00769801    0.429227 0.000738892
