#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.468651    0.468651           0
           2    0.447157    0.457904  0.00759942
           3    0.460064    0.458624  0.00510029
           4    0.403828    0.444925   0.0124651
           5    0.495666    0.455073   0.0134844
           6    0.484529    0.459983   0.0120977
           7    0.419391    0.454184   0.0116769
           8    0.455419    0.454338   0.0102183
           9    0.444879    0.453287   0.0091368
          10    0.430357    0.450994  0.00850599
          11    0.448849    0.450799  0.00773495
          12    0.436332    0.449594  0.00718371
          13    0.401014    0.445857  0.00754067
          14      0.4184    0.443896   0.0072526
          15    0.430579    0.443008  0.00682321
          16    0.420262    0.441586  0.00654318
          17     0.38017    0.437973   0.0070858
          18    0.451354    0.438717  0.00673102
          19    0.442492    0.438916  0.00637969
          20    0.458004     0.43987  0.00613169
