#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0415696   0.0415696           0
           2   0.0383864    0.039978  0.00112543
           3   0.0384716   0.0394759 0.000854999
           4   0.0397172   0.0395362 0.000643374
           5   0.0355076   0.0387305 0.000885586
           6   0.0342112   0.0379773  0.00100866
           7   0.0344968   0.0374801 0.000979479
           8   0.0392412   0.0377002 0.000881437
           9   0.0397484   0.0379278 0.000812347
          10   0.0413976   0.0382748 0.000801799
          11   0.0355872   0.0380304 0.000765229
          12   0.0368672   0.0379335 0.000707573
          13   0.0374952   0.0378998 0.000653947
          14   0.0326236   0.0375229 0.000707547
          15   0.0376184   0.0375293 0.000660405
          16   0.0417584   0.0377936 0.000669941
          17   0.0318684   0.0374451 0.000715476
          18   0.0349156   0.0373045  0.00068939
          19   0.0421888   0.0375616 0.000699394
          20    0.036938   0.0375304 0.000665119
