#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     12.1954     12.1954           0
           2     11.9605     12.0779   0.0830742
           3     11.9248     12.0269   0.0693217
           4      12.226     12.0767   0.0675386
           5     11.8223     12.0258   0.0706401
           6     12.0263     12.0259   0.0588668
           7     12.5935     12.1069   0.0904512
           8       12.03     12.0973   0.0796547
           9     12.4078     12.1318   0.0779175
          10     12.4208     12.1607   0.0752946
          11      11.869     12.1342   0.0729707
          12     12.2735     12.1458   0.0678066
          13     12.2299     12.1523   0.0628988
          14     12.4592     12.1742   0.0621092
          15     12.0994     12.1692   0.0581683
          16     12.3061     12.1778   0.0551583
          17     12.6195     12.2038   0.0577093
          18     12.1008      12.198   0.0547861
          19     12.9157     12.2358   0.0636053
          20     12.0062     12.2243   0.0614525
