#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0127884    0.304123           0
           2   0.0128711    0.305107 0.000695957
           3   0.0128221    0.305047 0.000466584
           4   0.0128322    0.305077  0.00035089
           5   0.0128208     0.30504 0.000282603
           6   0.0128776    0.305241 0.000298467
           7   0.0128369    0.305246 0.000255873
           8   0.0127873    0.305103 0.000261069
           9    0.012895    0.305275 0.000283572
          10   0.0127848    0.305152 0.000280921
          11   0.0128818     0.30526 0.000275491
          12   0.0128052    0.305199 0.000259276
          13   0.0128374    0.305206 0.000239423
          14   0.0129772    0.305449 0.000323215
          15   0.0129178    0.305566 0.000322086
          16   0.0129236    0.305677 0.000320457
          17   0.0128555    0.305679 0.000301617
          18   0.0128333    0.305652 0.000286072
          19   0.0128824    0.305689 0.000273429
          20   0.0128634      0.3057 0.000259976
