#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0476992   0.0476992           0
           2    0.047238   0.0474686 0.000163059
           3   0.0460884   0.0470085 0.000391056
           4   0.0486832   0.0474272 0.000466349
           5    0.044382   0.0468182 0.000660251
           6   0.0434096   0.0462501  0.00075609
           7   0.0435524   0.0458647 0.000739801
           8   0.0471632    0.046027 0.000664894
           9    0.051008   0.0465804 0.000788396
          10   0.0520636   0.0471288 0.000879804
          11   0.0461728   0.0470419 0.000804102
          12   0.0415976   0.0465882 0.000855563
          13   0.0460024   0.0465431 0.000790936
          14   0.0400248   0.0460775 0.000860637
          15   0.0454744   0.0460373   0.0008042
          16    0.049522   0.0462551 0.000782873
          17   0.0401364   0.0458952 0.000815372
          18   0.0437068   0.0457736 0.000779085
          19   0.0517836   0.0460899  0.00079972
          20   0.0475112    0.046161 0.000762885
