#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.007181    0.443272           0
           2  0.00701661    0.438198  0.00358786
           3  0.00707574    0.437723   0.0024231
           4  0.00715497    0.438709   0.0020077
           5   0.0070721    0.438277  0.00165194
           6  0.00711141    0.438393  0.00138072
           7  0.00712021    0.438554  0.00119281
           8  0.00709955    0.438515  0.00104434
           9  0.00716599    0.438941  0.00101128
          10  0.00690471    0.437668  0.00151181
          11   0.0070497    0.437441  0.00139137
          12   0.0070362    0.437182   0.0012993
          13  0.00718634    0.437676  0.00128977
          14  0.00703559    0.437434  0.00122004
          15  0.00702055    0.437163  0.00116844
          16  0.00696818    0.436724   0.0011751
          17  0.00715971    0.437032  0.00114559
          18   0.0070655    0.436982  0.00108301
          19  0.00704885    0.436884  0.00103047
          20  0.00708013    0.436892 0.000978974
