#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.92633     2.92633           0
           2     2.94245     2.93439  0.00569928
           3     2.91207     2.92695  0.00716392
           4     2.92485     2.92642  0.00539204
           5      3.0217     2.94548   0.0175811
           6     2.97621      2.9506   0.0153788
           7     2.97786     2.95449    0.013666
           8     2.95493     2.95455   0.0119579
           9     2.99474     2.95902   0.0114328
          10     3.01847     2.96496    0.011734
          11     2.98559     2.96684   0.0108162
          12     2.95962     2.96624  0.00993154
          13     2.98019     2.96731   0.0092254
          14     2.99756     2.96947  0.00881588
          15     3.01238     2.97233  0.00867981
          16     2.95803     2.97144  0.00818323
          17     2.99358     2.97274  0.00780482
          18     2.99737     2.97411   0.0074902
          19     2.95781     2.97325  0.00714492
          20     2.99417     2.97429  0.00686381
