#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.145071    0.145071           0
           2    0.155506    0.150289   0.0036894
           3    0.151847    0.150808  0.00249588
           4    0.134472    0.146724  0.00400162
           5    0.153659    0.148111  0.00343326
           6    0.144229    0.147464  0.00292138
           7    0.137878    0.146095  0.00280675
           8    0.146759    0.146178  0.00245713
           9    0.158012    0.147493  0.00251145
          10    0.148036    0.147547  0.00226089
          11    0.142948    0.147129  0.00209366
          12    0.125049    0.145289  0.00260515
          13    0.128719    0.144014   0.0026986
          14     0.14286    0.143932   0.0025071
          15    0.151494    0.144436  0.00239011
          16    0.142976    0.144345  0.00224247
          17    0.134985    0.143794   0.0021771
          18    0.156976    0.144527  0.00217583
          19    0.153351    0.144991  0.00211029
          20    0.144942    0.144989  0.00200478
