#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00765155    0.423908           0
           2  0.00767648    0.424599 0.000488493
           3  0.00762603    0.423898  0.00065889
           4  0.00771736    0.424812 0.000933336
           5  0.00779983    0.426274  0.00150604
           6  0.00768533    0.426192  0.00125728
           7  0.00781708    0.427176  0.00141106
           8  0.00773531    0.427347  0.00124508
           9  0.00765853    0.427008  0.00115199
          10  0.00771633    0.427057  0.00103783
          11  0.00773262    0.427179 0.000950634
          12  0.00776182    0.427416 0.000900356
          13  0.00764646    0.427124 0.000877005
          14  0.00775426    0.427301  0.00083198
          15  0.00784013    0.427771 0.000899696
          16  0.00786706    0.428276 0.000974841
          17  0.00790036     0.42883   0.0010633
          18  0.00774277    0.428838  0.00100425
          19  0.00777398    0.428935 0.000956127
          20  0.00762702    0.428616 0.000960152
