#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0142879    0.247196           0
           2   0.0143154    0.247433 0.000168006
           3   0.0145033    0.248596 0.000956008
           4   0.0143188    0.248379 0.000741142
           5   0.0143853     0.24848 0.000599644
           6   0.0145041    0.248889 0.000624073
           7   0.0144785    0.249118 0.000575414
           8   0.0144057    0.249133 0.000503669
           9   0.0143753    0.249085 0.000449905
          10   0.0144318    0.249145 0.000408902
          11   0.0143785    0.249111 0.000373202
          12   0.0144036    0.249118  0.00034217
          13   0.0145108    0.249267 0.000346688
          14   0.0144283    0.249292 0.000322866
          15    0.014349    0.249223 0.000308679
          16   0.0143389    0.249151 0.000297558
          17   0.0144248    0.249176 0.000281039
          18   0.0142957    0.249073 0.000283516
          19   0.0144296    0.249103 0.000270195
          20   0.0144663    0.249162  0.00026304
