#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.9881      3.9881           0
           2     4.01655     4.00232   0.0100599
           3      3.9391     3.98125   0.0184688
           4     3.98644     3.98255   0.0138972
           5     3.99208     3.98445   0.0112478
           6      4.0074     3.98828   0.0100024
           7     3.93833     3.98114   0.0108231
           8     3.96753     3.97944  0.00960316
           9      3.9853     3.98009  0.00855821
          10     3.95172     3.97726  0.00815917
          11     4.04415     3.98334  0.00941493
          12     4.05076     3.98896   0.0101695
          13      3.9546     3.98631  0.00972451
          14      3.9567      3.9842  0.00925704
          15     3.94852     3.98182  0.00894019
          16     3.93461     3.97887  0.00885499
          17     3.96679     3.97816  0.00836259
          18     3.98602      3.9786   0.0079094
          19     3.89098     3.97398  0.00873462
          20       3.981     3.97433  0.00830493
