#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.782486   -0.782486           0
           2   -0.782747   -0.782617 9.22067e-05
           3   -0.783918    -0.78305  0.00035933
           4   -0.782396   -0.782887 0.000304471
           5   -0.781987   -0.782707 0.000291936
           6   -0.782315   -0.782642 0.000250472
           7   -0.783074   -0.782703 0.000222191
           8   -0.784097   -0.782878 0.000253657
           9   -0.781874   -0.782766 0.000248761
          10   -0.782432   -0.782733 0.000226118
          11   -0.782051   -0.782671 0.000213881
          12   -0.783231   -0.782717 0.000201092
          13   -0.782671   -0.782714 0.000185655
          14    -0.78243   -0.782694 0.000173501
          15   -0.782219   -0.782662 0.000164792
          16   -0.783767   -0.782731 0.000168349
          17   -0.783321   -0.782766 0.000161981
          18   -0.783926    -0.78283 0.000165302
          19   -0.784843   -0.782936 0.000187506
          20    -0.78203   -0.782891 0.000183527
