#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0105759    0.367218           0
           2   0.0105431     0.36665 0.000402106
           3   0.0106558    0.367764 0.000948229
           4   0.0106613    0.368369 0.000883459
           5   0.0107652    0.369453  0.00120021
           6   0.0108045    0.370404  0.00132413
           7   0.0106155    0.370145  0.00115995
           8   0.0106539    0.370118  0.00101527
           9   0.0105677    0.369764  0.00096215
          10   0.0106335     0.36971 0.000867481
          11   0.0105829    0.369505 0.000812349
          12   0.0107048    0.369688 0.000764848
          13   0.0107861    0.370059 0.000791152
          14    0.010737    0.370256 0.000758667
          15    0.010649    0.370223 0.000708815
          16   0.0106473     0.37019  0.00066527
          17   0.0106244    0.370114 0.000630435
          18   0.0107403    0.370271 0.000614489
          19   0.0107088    0.370353 0.000587624
          20   0.0106795    0.370376   0.0005587
