#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0135395    0.281779           0
           2   0.0136254    0.282673 0.000632258
           3   0.0135115    0.282181  0.00058227
           4   0.0134692    0.281715  0.00059478
           5   0.0135168    0.281633 0.000481365
           6   0.0135662     0.28175 0.000415101
           7   0.0134439     0.28147 0.000440201
           8   0.0134709    0.281331  0.00040674
           9   0.0136212    0.281569 0.000425931
          10    0.013553    0.281619 0.000386163
          11   0.0136773    0.281894  0.00043836
          12   0.0134947    0.281807 0.000410427
          13   0.0134718    0.281696 0.000393427
          14   0.0135637    0.281738 0.000367546
          15   0.0135333    0.281732 0.000343089
          16   0.0134709    0.281646 0.000332325
          17   0.0135578    0.281676 0.000314155
          18   0.0135056    0.281643 0.000298484
          19   0.0135686    0.281682 0.000285321
          20   0.0135198    0.281666 0.000271483
