#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0435888   0.0435888           0
           2   0.0414168   0.0425028 0.000767918
           3   0.0400396   0.0416817 0.000843517
           4    0.043424   0.0421173 0.000736559
           5    0.037726    0.041239  0.00098198
           6     0.03658   0.0404625  0.00108264
           7   0.0370568    0.039976  0.00103152
           8   0.0414268   0.0401573 0.000918386
           9    0.043046   0.0404783 0.000870624
          10    0.045026   0.0409331 0.000894484
          11     0.03913   0.0407692  0.00082805
          12   0.0393052   0.0406472 0.000767981
          13   0.0385504   0.0404859 0.000725644
          14   0.0344144   0.0400522 0.000792884
          15   0.0409384   0.0401113 0.000742223
          16   0.0440824   0.0403595 0.000736163
          17   0.0329496   0.0399236 0.000811705
          18    0.038348   0.0398361 0.000771316
          19   0.0454744   0.0401328 0.000785735
          20   0.0404552   0.0401489 0.000746614
