#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.19362     2.19362           0
           2     2.17892     2.18627  0.00519812
           3     2.18424     2.18559  0.00350928
           4     2.14931     2.17652  0.00828476
           5     2.19739      2.1807   0.0076066
           6      2.1771      2.1801  0.00636239
           7     2.15699      2.1768  0.00625149
           8     2.17482     2.17655  0.00547492
           9     2.16429     2.17519  0.00503315
          10     2.18187     2.17586  0.00457394
          11     2.16706     2.17506  0.00422751
          12     2.17171     2.17478  0.00388442
          13     2.15904     2.17357  0.00376963
          14     2.22489     2.17723  0.00497327
          15     2.16558     2.17646  0.00470196
          16     2.20376     2.17816  0.00470753
          17     2.20551     2.17977  0.00469749
          18     2.17286     2.17939  0.00445219
          19      2.1793     2.17938  0.00421787
          20     2.16138     2.17848  0.00410189
