#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.196589    0.196589           0
           2    0.202165    0.199377  0.00197127
           3    0.204125     0.20096  0.00184312
           4    0.183034    0.196478  0.00411995
           5    0.225584    0.202299  0.00616221
           6     0.21746    0.204826  0.00562943
           7    0.189534    0.202642  0.00523197
           8    0.209693    0.203523  0.00465163
           9    0.204588    0.203641  0.00413629
          10    0.202362    0.203513  0.00372464
          11    0.196164    0.202845  0.00344544
          12    0.191488    0.201899  0.00328575
          13    0.186911    0.200746  0.00322894
          14     0.19481    0.200322    0.003026
          15    0.199428    0.200262  0.00282486
          16    0.196087    0.200001  0.00266033
          17    0.174674    0.198512  0.00289106
          18    0.213203    0.199328  0.00284332
          19    0.213707    0.200085  0.00279258
          20    0.211304    0.200646  0.00270871
