#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0688156   0.0688156           0
           2   0.0726924    0.070754  0.00137066
           3   0.0702912   0.0705997 0.000922411
           4   0.0690432   0.0702106 0.000769524
           5   0.0611468   0.0683978  0.00173432
           6   0.0653232   0.0678854  0.00151909
           7   0.0723016   0.0685163  0.00142708
           8   0.0745712   0.0692731  0.00143544
           9   0.0720264   0.0695791  0.00130813
          10    0.069818    0.069603  0.00117754
          11   0.0743588   0.0700353  0.00114712
          12   0.0720424   0.0702026  0.00106365
          13   0.0787168   0.0708575  0.00116617
          14    0.073066   0.0710153  0.00109349
          15   0.0696284   0.0709228  0.00102449
          16   0.0739312   0.0711108 0.000977559
          17   0.0746692   0.0713201 0.000942199
          18    0.070864   0.0712948 0.000890195
          19   0.0709932   0.0712789 0.000843484
          20   0.0707652   0.0712532 0.000801701
