#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.43474     1.43474           0
           2     1.43108     1.43291  0.00129324
           3     1.44257     1.43613  0.00276579
           4     1.44763     1.43901  0.00324127
           5     1.43402     1.43801  0.00274219
           6      1.4138     1.43397   0.0043346
           7      1.4288     1.43324  0.00377784
           8     1.42736      1.4325   0.0033763
           9     1.44552     1.43395  0.00329637
          10     1.42831     1.43338  0.00301449
          11     1.43182     1.43324  0.00274378
          12      1.4172      1.4319  0.00282195
          13       1.442     1.43268  0.00270963
          14     1.42305     1.43199  0.00260192
          15     1.42872     1.43178   0.0024376
          16     1.44536     1.43262  0.00242864
          17     1.43872     1.43298  0.00231214
          18     1.42778     1.43269  0.00220169
          19     1.44614      1.4334  0.00219662
          20     1.43807     1.43364  0.00209915
