#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.46791     6.46791           0
           2     6.46022     6.46407  0.00271879
           3     6.43341     6.45385  0.00853761
           4     6.52301     6.47114   0.0162863
           5     6.42406     6.46172   0.0155141
           6     6.41747     6.45435   0.0145765
           7     6.52012     6.46374   0.0152239
           8     6.28955     6.44197   0.0243369
           9     6.46756     6.44481   0.0217984
          10     6.46173     6.44651   0.0196841
          11     6.48159     6.44969   0.0181512
          12     6.36609     6.44273   0.0179258
          13     6.49147     6.44648   0.0169345
          14     6.47007     6.44816   0.0158085
          15     6.33578     6.44067   0.0164344
          16     6.21091     6.42631   0.0207532
          17     6.59385     6.43617   0.0217469
          18     6.39536      6.4339   0.0206565
          19     6.44504     6.43448   0.0195776
          20      6.4755     6.43654   0.0187059
