#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.100664    0.100664           0
           2   0.0986812   0.0996728 0.000701167
           3    0.103016    0.100787  0.00102295
           4   0.0904236   0.0981963  0.00237133
           5   0.0954464   0.0976463   0.0019598
           6    0.100166   0.0980663  0.00167756
           7   0.0923508   0.0972498   0.0016245
           8    0.103717   0.0980581  0.00161006
           9    0.100958   0.0983803  0.00146304
          10    0.096798   0.0982221  0.00132526
          11   0.0954212   0.0979675    0.001229
          12   0.0853692   0.0969176  0.00150981
          13   0.0915744   0.0965066  0.00144854
          14   0.0983852   0.0966408  0.00135127
          15   0.0991256   0.0968064   0.0012713
          16     0.10466   0.0972973  0.00128311
          17   0.0841356   0.0965231  0.00142216
          18   0.0978892    0.096599  0.00134517
          19    0.108185   0.0972088  0.00140581
          20   0.0960556   0.0971511   0.0013367
