#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.34057     1.34057           0
           2     1.34895     1.34476  0.00296391
           3     1.35086     1.34679  0.00257991
           4     1.35741     1.34945  0.00300379
           5     1.36218     1.35199   0.0033106
           6     1.37962      1.3566  0.00502814
           7     1.36224      1.3574  0.00437404
           8     1.37979      1.3602  0.00463668
           9     1.36801     1.36107  0.00420185
          10     1.37729     1.36269  0.00408276
          11     1.36833      1.3632  0.00374359
          12      1.3409     1.36134  0.00386567
          13     1.38164     1.36291  0.00387079
          14     1.36357     1.36295   0.0035946
          15     1.36878     1.36334  0.00337585
          16     1.36689     1.36356  0.00317214
          17     1.36716     1.36377   0.0029926
          18     1.34934     1.36297  0.00293177
          19     1.35433     1.36252   0.0028125
          20     1.36755     1.36277   0.0026831
