#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.49616     2.49616           0
           2     2.54709     2.52162    0.018008
           3     2.46034      2.5012   0.0205509
           4     2.48051     2.49602   0.0160505
           5     2.51576     2.49997   0.0133171
           6     2.52408     2.50399    0.011688
           7     2.50675     2.50438   0.0100249
           8     2.52233     2.50663  0.00901925
           9     2.58276     2.51509   0.0113085
          10     2.58153     2.52173   0.0119714
          11     2.52586     2.52211    0.010889
          12     2.51276     2.52133   0.0100094
          13     2.55032     2.52356   0.0094847
          14     2.51495     2.52294  0.00882713
          15     2.53309     2.52362  0.00826455
          16     2.51908     2.52334   0.0077529
          17     2.53901     2.52426  0.00735148
          18     2.47699     2.52163  0.00739728
          19     2.50587      2.5208  0.00705434
          20     2.51359     2.52044  0.00671084
