#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.664676   -0.664676           0
           2   -0.664068   -0.664372  0.00021496
           3   -0.664355   -0.664366  0.00014338
           4   -0.664015   -0.664279 0.000131702
           5    -0.66504   -0.664431 0.000172199
           6   -0.663946    -0.66435 0.000161324
           7   -0.664106   -0.664315 0.000142009
           8   -0.664163   -0.664296 0.000125523
           9   -0.663724   -0.664233 0.000126658
          10   -0.664427   -0.664252 0.000115477
          11   -0.664761   -0.664298 0.000113864
          12    -0.66401   -0.664274 0.000106887
          13   -0.663657   -0.664227 0.000108707
          14   -0.664428   -0.664241 0.000101888
          15   -0.663269   -0.664176 0.000113864
          16   -0.663079   -0.664108  0.00012571
          17   -0.665077   -0.664165 0.000130601
          18   -0.665522    -0.66424 0.000143482
          19    -0.66341   -0.664197 0.000142422
          20   -0.663253   -0.664149 0.000142903
