#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.158742    0.158742           0
           2     0.16848    0.163611   0.0034429
           3    0.176136    0.167786  0.00410949
           4     0.17767    0.170257   0.0037521
           5    0.182029    0.172611  0.00366666
           6    0.166168    0.171537  0.00320898
           7    0.173088    0.171759  0.00275819
           8    0.169533    0.171481  0.00242742
           9    0.154848    0.169633   0.0027734
          10    0.177072    0.170377  0.00259391
          11    0.183251    0.171547  0.00260883
          12    0.169036    0.171338   0.0023998
          13    0.170383    0.171264  0.00221632
          14    0.165428    0.170847  0.00209686
          15    0.164106    0.170398  0.00200465
          16    0.171412    0.170461  0.00188036
          17    0.165617    0.170176  0.00179121
          18    0.169109    0.170117  0.00169268
          19    0.170612    0.170143  0.00160379
          20    0.176494    0.170461  0.00155471
