#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95844     2.95844           0
           2     3.00762     2.98303   0.0173876
           3     2.95233      2.9728   0.0142894
           4     2.93044     2.96221   0.0141057
           5     2.95529     2.96083   0.0113521
           6     2.97159     2.96262  0.00960092
           7     2.96507     2.96297  0.00823572
           8     2.99963     2.96755  0.00838506
           9     3.00528     2.97175  0.00843656
          10     3.00153     2.97472  0.00810168
          11     2.97443      2.9747  0.00736521
          12      2.9619     2.97363  0.00682822
          13     3.02245     2.97739  0.00726255
          14     2.95717     2.97594  0.00688584
          15     2.95698     2.97468   0.0065418
          16     3.02477     2.97781  0.00684105
          17     3.00191     2.97923  0.00658385
          18     2.95772     2.97803   0.0063256
          19     2.93284     2.97565  0.00642433
          20      2.9907     2.97641  0.00614702
