#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00957274    0.395568           0
           2  0.00958821    0.395887 0.000225979
           3  0.00960084    0.396168 0.000274217
           4  0.00978373    0.398198  0.00176971
           5  0.00959551     0.39786  0.00144763
           6  0.00967293    0.398168  0.00123869
           7  0.00953128    0.397552   0.0012053
           8  0.00961931    0.397544  0.00105466
           9  0.00960259    0.397462 0.000940698
          10  0.00957142    0.397267 0.000866568
          11   0.0096958    0.397575 0.000840685
          12  0.00969458    0.397827 0.000807603
          13  0.00973253    0.398161 0.000811663
          14  0.00959035    0.398028  0.00076455
          15  0.00968382     0.39817 0.000726648
          16  0.00957401     0.39801 0.000698484
          17  0.00955542    0.397825 0.000681659
          18  0.00954741    0.397641 0.000668039
          19  0.00963253    0.397662 0.000633206
          20  0.00969729    0.397815 0.000619667
