#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504515   -0.504515           0
           2    -0.50444   -0.504478 2.65872e-05
           3   -0.504504   -0.504486 1.91258e-05
           4    -0.50517   -0.504657 0.000148611
           5    -0.50413   -0.504552 0.000151796
           6   -0.504014   -0.504462 0.000150677
           7    -0.50489   -0.504523 0.000140991
           8   -0.505478   -0.504642 0.000166424
           9   -0.504784   -0.504658 0.000148673
          10   -0.504638   -0.504656  0.00013382
          11   -0.505702   -0.504751 0.000151736
          12   -0.504814   -0.504756  0.00013918
          13   -0.504284    -0.50472 0.000133135
          14   -0.505101   -0.504747 0.000126371
          15   -0.504708   -0.504745 0.000117974
          16   -0.505795    -0.50481 0.000127569
          17   -0.504718   -0.504805 0.000120181
          18   -0.504434   -0.504784 0.000115254
          19   -0.504866   -0.504789 0.000109269
          20    -0.50481    -0.50479 0.000103811
