#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.37253     0.37253           0
           2    0.367569    0.370049  0.00175391
           3    0.328396    0.356165   0.0113966
           4    0.350304      0.3547  0.00864111
           5    0.365782    0.356916  0.00719153
           6    0.340656    0.354206  0.00648349
           7    0.359005    0.354892  0.00559341
           8    0.403266    0.360938  0.00747971
           9    0.360526    0.360893  0.00664877
          10    0.373123    0.362116  0.00609535
          11    0.369721    0.362807   0.0055803
          12    0.356313    0.362266  0.00514145
          13    0.385965    0.364089  0.00505882
          14     0.34916    0.363023  0.00480856
          15    0.354689    0.362467  0.00451997
          16    0.349927    0.361683  0.00430489
          17    0.370864    0.362223  0.00408539
          18     0.35259    0.361688  0.00389332
          19    0.360549    0.361628  0.00368887
          20    0.346636    0.360879  0.00357977
