#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0363244   0.0363244           0
           2    0.035866   0.0360952 0.000162069
           3    0.036306   0.0361655 0.000122334
           4     0.03655   0.0362616 0.000123892
           5    0.036464   0.0363021  0.00010552
           6   0.0357424   0.0362088 0.000122406
           7   0.0351712   0.0360606 0.000172745
           8   0.0378636   0.0362859 0.000259409
           9   0.0380768   0.0364849 0.000297262
          10   0.0353748   0.0363739 0.000287519
          11   0.0372568   0.0364542 0.000272353
          12   0.0364308   0.0364522 0.000249664
          13   0.0319552   0.0361063 0.000404439
          14   0.0340944   0.0359626 0.000400269
          15    0.036614    0.036006 0.000375932
          16   0.0368068   0.0360561 0.000355753
          17   0.0374004   0.0361352 0.000343502
          18   0.0342308   0.0360294 0.000340322
          19   0.0330676   0.0358735 0.000356326
          20   0.0368968   0.0359246 0.000342164
