#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67532     1.67532           0
           2      1.6812     1.67826  0.00207937
           3     1.66043     1.67232  0.00504846
           4     1.67589     1.67321  0.00386464
           5     1.69058     1.67669  0.00438386
           6     1.69119      1.6791  0.00426812
           7     1.67243     1.67815  0.00376325
           8     1.70777     1.68185  0.00477868
           9     1.69022     1.68278  0.00433725
          10     1.72133     1.68664  0.00534908
          11     1.70034     1.68788  0.00500569
          12     1.67261     1.68661  0.00474755
          13      1.7213     1.68928  0.00507703
          14     1.68787     1.68918  0.00471538
          15     1.67494     1.68823  0.00449556
          16     1.69389     1.68858  0.00422848
          17     1.71814     1.69032  0.00432248
          18      1.6565     1.68844  0.00447213
          19     1.67496     1.68773  0.00429269
          20     1.69313       1.688  0.00408653
