#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0464392   0.0464392           0
           2   0.0445108    0.045475 0.000681792
           3   0.0461856   0.0457119 0.000493963
           4   0.0465216   0.0459143 0.000409859
           5   0.0486948   0.0464704 0.000595741
           6   0.0488616   0.0468689 0.000615484
           7   0.0474964   0.0469586 0.000534046
           8   0.0498228   0.0473166  0.00057491
           9   0.0470292   0.0472847 0.000511917
          10     0.04704   0.0472602  0.00046131
          11    0.047382   0.0472713 0.000419505
          12   0.0486008   0.0473821 0.000398909
          13   0.0463676    0.047304 0.000375779
          14     0.05131   0.0475902 0.000444731
          15      0.0535   0.0479842  0.00056318
          16     0.05109   0.0481783 0.000560437
          17   0.0513564   0.0483652  0.00055778
          18   0.0459528   0.0482312 0.000542655
          19   0.0466556   0.0481483 0.000520392
          20   0.0466716   0.0480744 0.000499583
