#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.529788    0.529788           0
           2    0.525086    0.527437  0.00166227
           3    0.530322    0.528399  0.00135819
           4    0.540373    0.531392  0.00278545
           5    0.565888    0.538291  0.00656077
           6    0.532079    0.537256   0.0055484
           7     0.54477    0.538329   0.0048585
           8    0.571655    0.542495  0.00576684
           9    0.568594    0.545395  0.00580961
          10    0.541739    0.545029  0.00524014
          11    0.567118    0.547037  0.00513413
          12    0.561888    0.548275  0.00485314
          13    0.549441    0.548365  0.00448065
          14     0.55832    0.549076  0.00421665
          15    0.593802    0.552057  0.00487716
          16    0.528139    0.550562  0.00479597
          17    0.510711    0.548218   0.0050544
          18    0.549736    0.548303   0.0047743
          19    0.575397    0.549729   0.0047312
          20    0.568848    0.550685   0.0045902
