#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00171164    0.342328           0
           2  0.00164773    0.335937  0.00451883
           3  0.00160396    0.330889  0.00510554
           4  0.00162216    0.329275  0.00407627
           5  0.00168669    0.330887  0.00356575
           6  0.00170164    0.332461  0.00330039
           7  0.00166317    0.332485  0.00282899
           8  0.00167009    0.332677  0.00248186
           9  0.00158166    0.330861  0.00279266
          10  0.00158604    0.329495  0.00282752
          11  0.00155572    0.327827  0.00302288
          12  0.00172391     0.32924  0.00308352
          13  0.00153134    0.327473  0.00331418
          14   0.0015412    0.326099  0.00335008
          15  0.00164587    0.326304  0.00313301
          16  0.00164931    0.326527  0.00294508
          17  0.00158504    0.325967  0.00282457
          18  0.00165301    0.326224  0.00267936
          19  0.00164948    0.326417  0.00254531
          20  0.00163066    0.326403  0.00241808
