#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0156355    0.205595           0
           2   0.0156779    0.205873 0.000196996
           3   0.0154526    0.204979 0.000741885
           4   0.0155509    0.204855  0.00056672
           5   0.0155518    0.204783 0.000457949
           6   0.0156178    0.204879 0.000391695
           7   0.0156073    0.204929 0.000338829
           8   0.0155067      0.2048 0.000319859
           9   0.0154256    0.204582 0.000351068
          10   0.0155214    0.204533 0.000319315
          11   0.0155312    0.204505 0.000291526
          12   0.0155519    0.204504 0.000267233
          13   0.0155787    0.204531 0.000247986
          14   0.0155123    0.204491 0.000233425
          15   0.0154778    0.204426 0.000226638
          16   0.0153875    0.204296  0.00024736
          17   0.0155103    0.204275 0.000233649
          18   0.0155349    0.204275 0.000220668
          19   0.0156082    0.204326 0.000214774
          20   0.0156103    0.204372 0.000209087
