#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.170977    0.170977           0
           2    0.174453    0.172715  0.00122909
           3    0.179334    0.174921  0.00197916
           4    0.154085    0.169712   0.0047492
           5    0.183648    0.172499  0.00454419
           6    0.173682    0.172697   0.0037911
           7    0.163078    0.171323  0.00348964
           8    0.177266    0.172065  0.00313151
           9    0.182694    0.173246  0.00299797
          10    0.167982     0.17272    0.002744
          11    0.166977    0.172198  0.00254373
          12    0.156644    0.170902  0.00264143
          13    0.151124     0.16938   0.0028428
          14    0.168472    0.169315  0.00264049
          15    0.170124    0.169369    0.002465
          16     0.16045    0.168812  0.00237314
          17    0.155212    0.168012  0.00236454
          18    0.178272    0.168582  0.00230085
          19    0.180464    0.169207  0.00226316
          20    0.175045    0.169499  0.00216874
