#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.913079   -0.913079           0
           2   -0.913569   -0.913324   0.0001731
           3    -0.91197   -0.912873 0.000386055
           4    -0.91425   -0.913217 0.000415683
           5   -0.916114   -0.913796 0.000615662
           6   -0.915082   -0.914011  0.00054909
           7   -0.913822   -0.913984 0.000471313
           8    -0.91376   -0.913956 0.000413228
           9   -0.915304   -0.914106  0.00039353
          10   -0.912227   -0.913918 0.000396481
          11   -0.914471   -0.913968 0.000363615
          12   -0.913338   -0.913916 0.000337089
          13   -0.913674   -0.913897 0.000311669
          14   -0.915415   -0.914005 0.000307695
          15   -0.914643   -0.914048 0.000290105
          16   -0.913954   -0.914042 0.000272033
          17   -0.917322   -0.914235 0.000317169
          18   -0.912293   -0.914127 0.000317372
          19   -0.913295   -0.914083 0.000303673
          20    -0.91213   -0.913986 0.000303796
