#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00899027    0.407722           0
           2  0.00896789    0.407214 0.000358927
           3  0.00897141    0.407098 0.000257336
           4  0.00905504    0.407989 0.000794805
           5  0.00906449    0.408609 0.000843585
           6  0.00894851    0.408145 0.000820458
           7  0.00895947    0.407885 0.000743313
           8  0.00896562    0.407725 0.000667425
           9  0.00891855    0.407363 0.000684319
          10  0.00900451    0.407464 0.000623217
          11   0.0091223    0.408032 0.000783651
          12  0.00895598    0.407876  0.00073359
          13  0.00907551    0.408162  0.00073061
          14  0.00895569    0.408018 0.000692356
          15  0.00904775    0.408172 0.000663112
          16  0.00912884    0.408537 0.000714926
          17  0.00907615    0.408718 0.000695446
          18  0.00913623     0.40903 0.000723586
          19  0.00906493     0.40914 0.000693716
          20   0.0089717    0.409027 0.000668169
