#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0049978    0.444249           0
           2   0.0048838    0.439182  0.00358265
           3  0.00483226    0.435966  0.00354969
           4  0.00491615    0.436222   0.0026715
           5  0.00487487    0.435642  0.00219929
           6  0.00486209    0.435066  0.00190669
           7  0.00495419    0.435824  0.00177863
           8  0.00477167    0.434365  0.00207025
           9  0.00488182    0.434318  0.00184076
          10  0.00490302    0.434468  0.00166283
          11  0.00502351    0.435565   0.0018382
          12  0.00479262    0.434769  0.00184943
          13  0.00500644    0.435557  0.00186762
          14   0.0049218    0.435695  0.00173933
          15  0.00476221     0.43487  0.00180885
          16  0.00497288    0.435317  0.00175034
          17  0.00501234    0.435919  0.00174765
          18   0.0049592    0.436191  0.00167162
          19  0.00495066    0.436395  0.00159599
          20  0.00487069    0.436222  0.00152545
