#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0928024   0.0928024           0
           2   0.0907768   0.0917896 0.000716158
           3   0.0915108   0.0916967 0.000483431
           4    0.086098    0.090297  0.00126521
           5   0.0844916   0.0891359  0.00145016
           6   0.0875932   0.0888788  0.00123105
           7   0.0828408   0.0880162  0.00132331
           8    0.088952   0.0881332  0.00116306
           9   0.0942324   0.0888109  0.00121533
          10   0.0869364   0.0886234  0.00110816
          11   0.0782216   0.0876778  0.00135196
          12   0.0769108   0.0867806  0.00150792
          13   0.0853956    0.086674  0.00139569
          14    0.087544   0.0867362  0.00129738
          15   0.0847696   0.0866051  0.00121749
          16     0.09322   0.0870185  0.00120956
          17   0.0771108   0.0864357  0.00127109
          18    0.083046   0.0862474  0.00121434
          19   0.0932452   0.0866157  0.00120499
          20   0.0871112   0.0866405  0.00114499
