#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0148739    0.229535           0
           2   0.0149744    0.230311 0.000548785
           3   0.0149218    0.230299 0.000365992
           4   0.0149322    0.230333 0.000276066
           5   0.0148995    0.230252 0.000232276
           6   0.0148953    0.230188 0.000202295
           7   0.0148344    0.230008 0.000240614
           8   0.0147673    0.229743 0.000324921
           9    0.014951    0.229852 0.000306624
          10   0.0149006    0.229862 0.000276112
          11   0.0149813    0.229983 0.000276256
          12   0.0147716    0.229814 0.000300406
          13   0.0148367    0.229749 0.000284362
          14   0.0148947    0.229756 0.000264154
          15   0.0149121    0.229781 0.000247688
          16   0.0148004    0.229695 0.000246757
          17   0.0147588    0.229581 0.000257171
          18     0.01479    0.229506  0.00025344
          19   0.0149977    0.229608 0.000259838
          20   0.0149358    0.229652 0.000250562
