#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     70.9634     70.9634           0
           2     79.0125      74.988     2.84578
           3     78.0551     76.0104     2.07273
           4      78.586     76.6543     1.65153
           5     80.2387     77.3712      1.4686
           6     76.4527     77.2181     1.23179
           7     77.4735     77.2546     1.05636
           8     83.4612     78.0304     1.17517
           9     76.7993     77.8936     1.05253
          10     79.4321     78.0475     0.95845
          11     81.8671     78.3947      0.9321
          12     81.7956     78.6781    0.896476
          13     77.1096     78.5575    0.835596
          14     78.2962     78.5388    0.776119
          15     78.8033     78.5564    0.724578
          16     78.9128     78.5787    0.679634
          17     79.3135     78.6219    0.641028
          18     79.9681     78.6967    0.609763
          19     82.1937     78.8808     0.60481
          20     81.2173     78.9976    0.585744
