#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0419488   0.0419488           0
           2   0.0403356   0.0411422 0.000570352
           3   0.0374408   0.0399084  0.00107676
           4    0.042552   0.0405693 0.000989831
           5   0.0436284   0.0411811 0.000962553
           6   0.0446432   0.0417581 0.000959616
           7    0.041164   0.0416733 0.000826273
           8   0.0457864   0.0421874 0.000868339
           9   0.0434948   0.0423327 0.000783914
          10   0.0426072   0.0423601 0.000706003
          11   0.0429096   0.0424101 0.000643586
          12    0.044106   0.0425514 0.000605272
          13   0.0415524   0.0424746  0.00056357
          14     0.04041   0.0423271 0.000542265
          15   0.0380308   0.0420407 0.000576818
          16   0.0422376    0.042053 0.000540898
          17   0.0424132   0.0420742 0.000509495
          18   0.0399928   0.0419585 0.000494137
          19   0.0386516   0.0417845  0.00049784
          20   0.0413552    0.041763  0.00047341
