#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0123355    0.314681           0
           2   0.0124737    0.316444  0.00124677
           3    0.012424    0.316609 0.000842057
           4   0.0124038    0.316563 0.000632822
           5   0.0124695     0.31687 0.000576056
           6   0.0124601    0.317035 0.000503137
           7   0.0124651    0.317171 0.000449251
           8   0.0124567    0.317246 0.000399329
           9   0.0125335    0.317523 0.000440259
          10   0.0124038    0.317413 0.000409708
          11   0.0125063    0.317561 0.000398206
          12   0.0124626    0.317591 0.000366175
          13   0.0124057    0.317505 0.000347985
          14   0.0125354    0.317667  0.00035908
          15   0.0124621    0.317684 0.000335507
          16   0.0124888     0.31774  0.00031931
          17   0.0125147    0.317829 0.000312658
          18   0.0123708    0.317704 0.000319258
          19   0.0125351    0.317813 0.000320478
          20   0.0124086     0.31775 0.000310656
