#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.51149     2.51149           0
           2     2.54373     2.52761   0.0113993
           3      2.5074     2.52088   0.0093818
           4     2.55109     2.52843  0.00960817
           5     2.51968     2.52668   0.0078444
           6     2.53978     2.52886  0.00683416
           7     2.50565     2.52555  0.00661375
           8     2.58909     2.53349   0.0094177
           9     2.54419     2.53468  0.00844605
          10     2.54573     2.53578  0.00767337
          11     2.54593     2.53671    0.007031
          12     2.50125     2.53375  0.00703852
          13     2.54303     2.53447  0.00653321
          14     2.50887     2.53264  0.00631725
          15     2.51046     2.53116  0.00606671
          16     2.51858     2.53037  0.00573823
          17     2.51713     2.52959  0.00545332
          18     2.53032     2.52963  0.00515051
          19     2.52776     2.52954  0.00488037
          20     2.54633     2.53037  0.00470804
