#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0141693    0.260226           0
           2   0.0142557    0.261019 0.000560764
           3    0.014109    0.260386 0.000637975
           4   0.0140696    0.259888 0.000643978
           5   0.0141769    0.259984 0.000522237
           6   0.0141787    0.260053 0.000439735
           7   0.0140838    0.259853 0.000419736
           8   0.0140908    0.259719 0.000387975
           9   0.0141439    0.259724 0.000344892
          10   0.0140736    0.259598 0.000332473
          11   0.0142029    0.259711 0.000320933
          12   0.0140122    0.259514 0.000349729
          13   0.0140889    0.259455 0.000327728
          14    0.014142    0.259474 0.000304883
          15   0.0141664    0.259521 0.000288097
          16    0.014102    0.259488 0.000271993
          17   0.0140974    0.259453 0.000258146
          18   0.0140429    0.259367  0.00025775
          19   0.0141365    0.259381 0.000244537
          20   0.0141973    0.259449 0.000241571
