#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.88716     4.88716           0
           2     4.93168     4.90942   0.0157408
           3      5.0104     4.94308    0.029417
           4     4.92257     4.93795   0.0225051
           5      4.9688     4.94412   0.0188306
           6     4.96599     4.94777   0.0160409
           7     4.86324     4.93569   0.0177205
           8     4.93246     4.93529     0.01551
           9     5.06097     4.94925   0.0190632
          10     4.98504     4.95283   0.0174897
          11     4.87907     4.94613    0.017137
          12      4.9394     4.94557   0.0157181
          13     4.85951     4.93895   0.0158418
          14     4.80602     4.92945   0.0173233
          15     5.12765     4.94266   0.0206003
          16     4.97627     4.94477   0.0194196
          17     4.97108     4.94631   0.0183388
          18     4.96715     4.94747   0.0173565
          19     4.88394     4.94413    0.016762
          20     4.95555      4.9447   0.0159336
