#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.3604     24.3604           0
           2     24.3006     24.3305   0.0211502
           3     23.8758     24.1789    0.124553
           4     24.2932     24.2075   0.0966361
           5     25.5754     24.4811    0.256624
           6     24.4446      24.475    0.213925
           7     24.6394     24.4985    0.184649
           8     23.7431     24.4041     0.18413
           9      23.617     24.3166    0.183265
          10       24.95     24.3799    0.175542
          11     24.2034     24.3639    0.160315
          12     26.0637     24.5055     0.19997
          13     24.9977     24.5434    0.188137
          14     25.0589     24.5802    0.178266
          15     23.2964     24.4946    0.185795
          16     24.7685     24.5118     0.17497
          17     25.1696     24.5504    0.168902
          18     24.7219       24.56    0.159787
          19     24.5615     24.5601    0.151377
          20     24.8553     24.5748    0.144526
