#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.5439     15.5439           0
           2     15.4076     15.4758   0.0482148
           3     15.0169     15.3228    0.128949
           4      15.658     15.4066    0.120909
           5     14.1402     15.1533    0.246323
           6     15.2237      15.165    0.205548
           7     15.0952     15.1551    0.176427
           8     15.0194     15.1381    0.155187
           9     14.9052     15.1122    0.140084
          10       15.46      15.147     0.13032
          11     15.1013     15.1429    0.118539
          12     14.9454     15.1264    0.109797
          13     15.3511     15.1437    0.102704
          14     15.0161     15.1346   0.0957712
          15     15.1125     15.1331   0.0893977
          16     15.3479     15.1465   0.0848123
          17     16.2172     15.2095    0.100523
          18     14.6462     15.1782   0.0996915
          19     15.0695     15.1725   0.0946084
          20      15.866     15.2072   0.0960228
