#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.060814    0.060814           0
           2   0.0609108   0.0608624  3.4224e-05
           3     0.06158   0.0611016 0.000196634
           4   0.0609128   0.0610544 0.000153036
           5   0.0552468   0.0598929  0.00104608
           6   0.0555492   0.0591689  0.00109393
           7   0.0572724    0.058898 0.000970622
           8   0.0597936   0.0590099 0.000855726
           9   0.0613224   0.0592669 0.000798288
          10   0.0629184    0.059632 0.000797612
          11   0.0563864    0.059337 0.000777765
          12   0.0529552   0.0588052 0.000876104
          13   0.0588576   0.0588092  0.00080872
          14   0.0527404   0.0583757 0.000859314
          15   0.0559736   0.0582156 0.000816812
          16   0.0621752    0.058463 0.000802376
          17   0.0533684   0.0581634  0.00080921
          18   0.0563972   0.0580652  0.00077018
          19   0.0620824   0.0582767 0.000758109
          20     0.05603   0.0581643 0.000728479
