#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.288677    0.288677           0
           2    0.290631    0.289654 0.000690985
           3    0.299148    0.292819  0.00262457
           4     0.27216    0.287654  0.00488662
           5    0.316443    0.293412  0.00646566
           6    0.322952    0.298335  0.00701649
           7    0.288734    0.296964  0.00614673
           8    0.306464    0.298151  0.00549191
           9     0.29234    0.297506  0.00491951
          10    0.295509    0.297306  0.00443161
          11     0.28992    0.296635  0.00407928
          12    0.295444    0.296535  0.00374055
          13    0.274096    0.294809  0.00383044
          14    0.279524    0.293717  0.00370917
          15    0.296192    0.293882  0.00346556
          16    0.273209     0.29259  0.00348151
          17    0.245506    0.289821  0.00423753
          18    0.320669    0.291534  0.00433484
          19    0.322997     0.29319  0.00441165
          20    0.299576     0.29351  0.00420261
